homo_sapiens,mus_musculus,positive_match_percent
ENSG00000139180,ENSMUSG00000000399,87.5332
ENSG00000198759,ENSMUSG00000000402,86.85400738544223
ENSG00000182866,ENSMUSG00000000409,97.18169299413125
ENSG00000162526,ENSMUSG00000000411,97.3881
ENSG00000077063,ENSMUSG00000000416,90.78828626453421
ENSG00000141429,ENSMUSG00000000420,99.2844
ENSG00000111049,ENSMUSG00000000435,94.1176
ENSG00000075975,ENSMUSG00000000439,94.4712
ENSG00000132170,ENSMUSG00000000440,96.32649600687016
ENSG00000132155,ENSMUSG00000000441,98.30250000000001
ENSG00000180096,ENSMUSG00000000486,97.28996933041715
ENSG00000100311,ENSMUSG00000000489,93.361
ENSG00000139567,ENSMUSG00000000530,93.13430773237386
ENSG00000161835,ENSMUSG00000000531,92.50315599230306
ENSG00000135503,ENSMUSG00000000532,99.4059
ENSG00000175662,ENSMUSG00000000538,97.8304
ENSG00000143167,ENSMUSG00000000544,80.5643
ENSG00000161642,ENSMUSG00000000552,94.68088114248442
ENSG00000161638,ENSMUSG00000000555,94.86205655254348
ENSG00000151834,ENSMUSG00000000560,98.2262
ENSG00000116455,ENSMUSG00000000561,94.4444
ENSG00000282608,ENSMUSG00000000562,84.45839181800315
ENSG00000116459,ENSMUSG00000000563,89.4531
ENSG00000125398,ENSMUSG00000000567,97.83462084366533
ENSG00000138668,ENSMUSG00000000568,98.8732
ENSG00000146425,ENSMUSG00000000579,99.115
ENSG00000197223,ENSMUSG00000000581,95.74470000000001
ENSG00000196743,ENSMUSG00000000594,80.829
ENSG00000001631,ENSMUSG00000000600,96.4674
ENSG00000073464,ENSMUSG00000000605,98.87194144264775
ENSG00000113262,ENSMUSG00000000617,96.10986762170823
ENSG00000135622,ENSMUSG00000000627,93.60053344116527
ENSG00000159399,ENSMUSG00000000628,97.27369999999999
ENSG00000196535,ENSMUSG00000000631,95.76989334541727
ENSG00000063015,ENSMUSG00000000632,94.40808430614683
ENSG00000162882,ENSMUSG00000000673,92.65730000000002
ENSG00000169442,ENSMUSG00000000682,54.814799418376104
ENSG00000168792,ENSMUSG00000000686,90.18334853426336
ENSG00000108511,ENSMUSG00000000690,98.6607
ENSG00000115318,ENSMUSG00000000693,95.42135800847608
ENSG00000124557,ENSMUSG00000000706,83.80954588154017
ENSG00000114166,ENSMUSG00000000708,95.56234986727715
ENSG00000111540,ENSMUSG00000000711,100.0
ENSG00000108255,ENSMUSG00000000724,96.7442
ENSG00000142182,ENSMUSG00000000730,75.58860364804133
ENSG00000160224,ENSMUSG00000000731,74.56701348302703
ENSG00000160223,ENSMUSG00000000732,52.94116791496053
ENSG00000197912,ENSMUSG00000000738,92.13197991257798
ENSG00000213648,ENSMUSG00000000739,54.607505732736
ENSG00000167526,ENSMUSG00000000740,99.5261
ENSG00000131165,ENSMUSG00000000743,98.9796
ENSG00000132383,ENSMUSG00000000751,89.36509827159941
ENSG00000132386,ENSMUSG00000000753,93.65271569952223
ENSG00000126216,ENSMUSG00000000759,97.46138120683551
ENSG00000112038,ENSMUSG00000000766,88.08409024368463
ENSG00000168495,ENSMUSG00000000776,98.4925
ENSG00000081059,ENSMUSG00000000782,90.16188779312216
ENSG00000215301,ENSMUSG00000000787,99.0937
ENSG00000096996,ENSMUSG00000000791,62.99999500571327
ENSG00000105641,ENSMUSG00000000792,88.65978717115408
ENSG00000143603,ENSMUSG00000000794,96.92410471652317
ENSG00000170832,ENSMUSG00000000804,97.6309
ENSG00000167434,ENSMUSG00000000805,71.96108571404753
ENSG00000197763,ENSMUSG00000000811,93.0047542566242
ENSG00000117560,ENSMUSG00000000817,86.07140214923466
ENSG00000196700,ENSMUSG00000000823,88.65047334478217
ENSG00000101152,ENSMUSG00000000826,99.4949
ENSG00000101150,ENSMUSG00000000827,88.27587237627135
ENSG00000102081,ENSMUSG00000000838,98.02058848722183
ENSG00000119866,ENSMUSG00000000861,99.521
ENSG00000113520,ENSMUSG00000000869,56.65530211416658
ENSG00000101417,ENSMUSG00000000876,90.0943
ENSG00000082458,ENSMUSG00000000881,97.71908469272464
ENSG00000185838,ENSMUSG00000000884,73.97656841720394
ENSG00000123454,ENSMUSG00000000889,87.81276971469306
ENSG00000099953,ENSMUSG00000000901,87.75513791919924
ENSG00000099956,ENSMUSG00000000902,100.0
ENSG00000128218,ENSMUSG00000000903,68.77471228420659
ENSG00000130787,ENSMUSG00000000915,95.3184
ENSG00000130305,ENSMUSG00000000916,90.01074622114999
ENSG00000184428,ENSMUSG00000000934,83.4171048319455
ENSG00000253293,ENSMUSG00000000938,92.4939194003598
ENSG00000197576,ENSMUSG00000000942,71.7355589918647
ENSG00000157227,ENSMUSG00000000957,97.5945
ENSG00000155465,ENSMUSG00000000958,96.37610753567789
ENSG00000155463,ENSMUSG00000000959,83.17970843163903
ENSG00000068097,ENSMUSG00000000976,90.14800495073942
ENSG00000277632,ENSMUSG00000000982,86.9565
ENSG00000105371,ENSMUSG00000001014,66.79175203754484
ENSG00000143621,ENSMUSG00000001016,100.0
ENSG00000160679,ENSMUSG00000001017,98.99399916278092
ENSG00000143553,ENSMUSG00000001018,98.5294
ENSG00000196154,ENSMUSG00000001020,97.0297
ENSG00000188015,ENSMUSG00000001021,94.0594
ENSG00000196420,ENSMUSG00000001023,95.13517031994068
ENSG00000197956,ENSMUSG00000001025,98.32403135981839
ENSG00000007314,ENSMUSG00000001027,94.80552474460924
ENSG00000108622,ENSMUSG00000001029,71.3768127356214
ENSG00000166484,ENSMUSG00000001034,93.58814275079948
ENSG00000072134,ENSMUSG00000001036,91.6471941401406
ENSG00000108641,ENSMUSG00000001039,94.1176
ENSG00000138802,ENSMUSG00000001052,88.92419976824013
ENSG00000145911,ENSMUSG00000001053,93.80201639554848
ENSG00000145916,ENSMUSG00000001054,99.2366
ENSG00000145912,ENSMUSG00000001056,94.1176
ENSG00000075399,ENSMUSG00000001062,86.18268644068878
ENSG00000158805,ENSMUSG00000001065,83.5505
ENSG00000186897,ENSMUSG00000001076,96.63870000000001
ENSG00000109736,ENSMUSG00000001082,85.62019680017472
ENSG00000169641,ENSMUSG00000001089,88.15297288648753
ENSG00000007216,ENSMUSG00000001095,87.94566843229434
ENSG00000110906,ENSMUSG00000001098,98.88710047846406
ENSG00000004142,ENSMUSG00000001100,95.6522
ENSG00000274529,ENSMUSG00000001103,71.0526
ENSG00000109083,ENSMUSG00000001105,99.2424
ENSG00000142156,ENSMUSG00000001119,94.39844840598886
ENSG00000183570,ENSMUSG00000001120,98.1132
ENSG00000105198,ENSMUSG00000001123,29.268298301272104
ENSG00000078061,ENSMUSG00000001127,96.69423591010863
ENSG00000126759,ENSMUSG00000001128,84.45872412700986
ENSG00000102265,ENSMUSG00000001131,86.40776342255161
ENSG00000126756,ENSMUSG00000001134,91.41107264481057
ENSG00000168763,ENSMUSG00000001138,90.56338282680946
ENSG00000114988,ENSMUSG00000001143,92.06797465512027
ENSG00000160294,ENSMUSG00000001150,85.90230439235064
ENSG00000160299,ENSMUSG00000001151,69.1619115837321
ENSG00000160282,ENSMUSG00000001155,91.86690000000002
ENSG00000059728,ENSMUSG00000001156,89.28568220862537
ENSG00000087338,ENSMUSG00000001157,93.74396533999636
ENSG00000122126,ENSMUSG00000001173,95.94672044649765
ENSG00000198668,ENSMUSG00000001175,100.0
ENSG00000160216,ENSMUSG00000001211,96.8085
ENSG00000091138,ENSMUSG00000001225,90.0723421106476
ENSG00000167680,ENSMUSG00000001227,91.99548310647467
ENSG00000276043,ENSMUSG00000001228,86.60317514150061
ENSG00000142002,ENSMUSG00000001229,94.07072207782822
ENSG00000131477,ENSMUSG00000001240,72.52750199704138
ENSG00000105699,ENSMUSG00000001247,85.85770384594107
ENSG00000089351,ENSMUSG00000001248,95.02076815481217
ENSG00000105707,ENSMUSG00000001249,88.6310854372007
ENSG00000163285,ENSMUSG00000001260,97.6344
ENSG00000166165,ENSMUSG00000001270,98.6877
ENSG00000185591,ENSMUSG00000001280,96.80716826071867
ENSG00000139626,ENSMUSG00000001281,91.02243560363289
ENSG00000139637,ENSMUSG00000001285,91.00530197362097
ENSG00000172819,ENSMUSG00000001288,98.0263642476531
ENSG00000123349,ENSMUSG00000001289,99.35060000000001
ENSG00000125266,ENSMUSG00000001300,97.45889010838711
ENSG00000067533,ENSMUSG00000001305,82.41563994144333
ENSG00000108830,ENSMUSG00000001313,99.5595
ENSG00000167720,ENSMUSG00000001323,95.43444300702102
ENSG00000162520,ENSMUSG00000001333,84.24366298725151
ENSG00000160097,ENSMUSG00000001334,97.38715467075872
ENSG00000102575,ENSMUSG00000001348,90.7975457751458
ENSG00000130176,ENSMUSG00000001349,98.31649999999999
ENSG00000112146,ENSMUSG00000001366,93.82150000000001
ENSG00000004766,ENSMUSG00000001376,98.444
ENSG00000170445,ENSMUSG00000001380,96.66010000000001
ENSG00000146007,ENSMUSG00000001383,100.0
ENSG00000175063,ENSMUSG00000001403,97.2067
ENSG00000198952,ENSMUSG00000001415,94.93357702720638
ENSG00000163468,ENSMUSG00000001416,98.7156
ENSG00000198715,ENSMUSG00000001418,85.43212912299923
ENSG00000116604,ENSMUSG00000001419,97.00486261915096
ENSG00000163472,ENSMUSG00000001420,88.91720146212543
ENSG00000197157,ENSMUSG00000001424,98.9011
ENSG00000182871,ENSMUSG00000001435,73.24128885206005
ENSG00000173638,ENSMUSG00000001436,70.53489628793798
ENSG00000108424,ENSMUSG00000001440,99.7717
ENSG00000141279,ENSMUSG00000001441,98.85807072126613
ENSG00000073861,ENSMUSG00000001444,91.26758824307326
ENSG00000159111,ENSMUSG00000001445,89.4837728445612
ENSG00000001630,ENSMUSG00000001467,96.0474233467082
ENSG00000141002,ENSMUSG00000001472,93.04729999999999
ENSG00000176014,ENSMUSG00000001473,98.9921258718738
ENSG00000140995,ENSMUSG00000001482,86.29553558661502
ENSG00000005102,ENSMUSG00000001493,87.96845780765453
ENSG00000167941,ENSMUSG00000001494,92.92453270290746
ENSG00000136352,ENSMUSG00000001496,94.43724327889238
ENSG00000198807,ENSMUSG00000001497,98.68228840979909
ENSG00000170561,ENSMUSG00000001504,95.23809014663628
ENSG00000108821,ENSMUSG00000001506,94.89200052058442
ENSG00000005884,ENSMUSG00000001507,91.17508073232402
ENSG00000108823,ENSMUSG00000001508,93.5401
ENSG00000064195,ENSMUSG00000001510,98.9547
ENSG00000111206,ENSMUSG00000001517,87.63158428764524
ENSG00000111203,ENSMUSG00000001518,92.5842795169688
ENSG00000053702,ENSMUSG00000001520,67.15062687079285
ENSG00000078246,ENSMUSG00000001521,78.93570270549209
ENSG00000213780,ENSMUSG00000001524,99.24323409739797
ENSG00000196230,ENSMUSG00000001525,100.0
ENSG00000118985,ENSMUSG00000001542,94.60514211734662
ENSG00000173801,ENSMUSG00000001552,99.3289
ENSG00000141756,ENSMUSG00000001555,94.75492990079681
ENSG00000161594,ENSMUSG00000001558,99.1776
ENSG00000130675,ENSMUSG00000001566,91.428580058482
ENSG00000146909,ENSMUSG00000001569,80.16336746321775
ENSG00000113719,ENSMUSG00000001576,99.6552
ENSG00000174292,ENSMUSG00000001583,87.98798984782303
ENSG00000072818,ENSMUSG00000001588,95.8108
ENSG00000204219,ENSMUSG00000001604,94.67625392101205
ENSG00000171209,ENSMUSG00000001622,54.54543612685475
ENSG00000006652,ENSMUSG00000001627,97.11112045234555
ENSG00000211455,ENSMUSG00000001630,98.181796518287
ENSG00000156983,ENSMUSG00000001632,97.73461922476497
ENSG00000085662,ENSMUSG00000001642,92.7215
ENSG00000123364,ENSMUSG00000001655,98.48024007538498
ENSG00000123388,ENSMUSG00000001656,98.3553
ENSG00000037965,ENSMUSG00000001657,99.5868
ENSG00000197757,ENSMUSG00000001661,100.0
ENSG00000099977,ENSMUSG00000001666,87.2881
ENSG00000198650,ENSMUSG00000001670,96.696
ENSG00000140832,ENSMUSG00000001672,54.1984814880595
ENSG00000088205,ENSMUSG00000001674,90.97745623833569
ENSG00000122042,ENSMUSG00000001687,100.0
ENSG00000155324,ENSMUSG00000001700,87.1151544905967
ENSG00000124802,ENSMUSG00000001707,93.10339999999998
ENSG00000142208,ENSMUSG00000001729,91.4583
ENSG00000106404,ENSMUSG00000001739,84.83514022364444
ENSG00000172349,ENSMUSG00000001741,86.96306515662172
ENSG00000110719,ENSMUSG00000001750,90.02407982040465
ENSG00000108784,ENSMUSG00000001751,89.87854517930734
ENSG00000068120,ENSMUSG00000001755,93.87752608577551
ENSG00000128602,ENSMUSG00000001761,94.30378982590028
ENSG00000158457,ENSMUSG00000001763,98.23319999999998
ENSG00000101343,ENSMUSG00000001767,98.03923462770693
ENSG00000132669,ENSMUSG00000001768,95.43936059031078
ENSG00000086205,ENSMUSG00000001773,90.67908920728831
ENSG00000110172,ENSMUSG00000001774,96.83257956632465
ENSG00000100220,ENSMUSG00000001783,99.80200000000002
ENSG00000136045,ENSMUSG00000001785,92.6148
ENSG00000100225,ENSMUSG00000001786,83.82772327080039
ENSG00000126247,ENSMUSG00000001794,97.3881
ENSG00000130881,ENSMUSG00000001802,92.30767469591765
ENSG00000175065,ENSMUSG00000001804,91.20612891784161
ENSG00000174279,ENSMUSG00000001815,95.6887441316308
ENSG00000128714,ENSMUSG00000001819,95.30792146610263
ENSG00000170178,ENSMUSG00000001823,88.47582699242346
ENSG00000110195,ENSMUSG00000001827,87.8906087028448
ENSG00000162129,ENSMUSG00000001829,90.17341296524556
ENSG00000122545,ENSMUSG00000001833,98.85580000000002
ENSG00000136247,ENSMUSG00000001844,84.71617039804005
ENSG00000136238,ENSMUSG00000001847,94.78908220725735
ENSG00000126883,ENSMUSG00000001855,84.35927907690193
ENSG00000126878,ENSMUSG00000001864,96.6667
ENSG00000163751,ENSMUSG00000001865,90.1679
ENSG00000049323,ENSMUSG00000001870,93.7099914669114
ENSG00000169764,ENSMUSG00000001891,99.21260000000001
ENSG00000173826,ENSMUSG00000001901,92.34797656210746
ENSG00000104907,ENSMUSG00000001909,88.19969234460122
ENSG00000160877,ENSMUSG00000001910,90.1056461897898
ENSG00000008441,ENSMUSG00000001911,98.5943891477499
ENSG00000105281,ENSMUSG00000001918,87.77372657189676
ENSG00000130985,ENSMUSG00000001924,97.5425
ENSG00000110799,ENSMUSG00000001930,91.04159999999999
ENSG00000110013,ENSMUSG00000001942,85.15037262404645
ENSG00000019102,ENSMUSG00000001943,86.71759785280531
ENSG00000149564,ENSMUSG00000001946,80.61220151759674
ENSG00000064199,ENSMUSG00000001948,86.66664802222209
ENSG00000071859,ENSMUSG00000001962,99.41
ENSG00000102119,ENSMUSG00000001964,83.8206864851098
ENSG00000136463,ENSMUSG00000001983,85.61759400138753
ENSG00000163873,ENSMUSG00000001985,99.67360000000001
ENSG00000125675,ENSMUSG00000001986,99.66332027116992
ENSG00000130751,ENSMUSG00000001988,90.70946437292264
ENSG00000116991,ENSMUSG00000001995,95.47039999999998
ENSG00000081014,ENSMUSG00000001998,88.44620038552812
ENSG00000106605,ENSMUSG00000001999,91.70898752350499
ENSG00000067840,ENSMUSG00000002006,95.92758916040633
ENSG00000184343,ENSMUSG00000002007,95.22965273992058
ENSG00000067829,ENSMUSG00000002010,97.201
ENSG00000130822,ENSMUSG00000002012,96.2099
ENSG00000180879,ENSMUSG00000002014,97.1098
ENSG00000185825,ENSMUSG00000002015,95.31565453436225
ENSG00000119812,ENSMUSG00000002017,97.19263034535764
ENSG00000119681,ENSMUSG00000002020,86.28100695730684
ENSG00000118058,ENSMUSG00000002028,94.20509611162447
ENSG00000118096,ENSMUSG00000002031,86.89023866745957
ENSG00000149582,ENSMUSG00000002032,93.84402431988337
ENSG00000160654,ENSMUSG00000002033,79.1209
ENSG00000007255,ENSMUSG00000002043,80.11695643274508
ENSG00000109111,ENSMUSG00000002052,99.1889
ENSG00000076382,ENSMUSG00000002055,77.86261976934416
ENSG00000109101,ENSMUSG00000002057,91.2037
ENSG00000109103,ENSMUSG00000002058,89.64145464039828
ENSG00000109113,ENSMUSG00000002059,90.83968800186238
ENSG00000132581,ENSMUSG00000002064,98.5782
ENSG00000105173,ENSMUSG00000002068,88.75306944123957
ENSG00000160207,ENSMUSG00000002076,93.45238859481016
ENSG00000105327,ENSMUSG00000002083,92.74609999999998
ENSG00000134571,ENSMUSG00000002100,92.55487252458265
ENSG00000165916,ENSMUSG00000002102,91.68537852316278
ENSG00000134575,ENSMUSG00000002103,94.2824146980926
ENSG00000165917,ENSMUSG00000002104,97.5728
ENSG00000165915,ENSMUSG00000002105,92.8859437319035
ENSG00000048740,ENSMUSG00000002107,95.31997576701743
ENSG00000025434,ENSMUSG00000002108,94.3945754441573
ENSG00000134574,ENSMUSG00000002109,86.84515773356009
ENSG00000066336,ENSMUSG00000002111,91.8818989011587
ENSG00000099995,ENSMUSG00000002129,98.4848929921851
ENSG00000166888,ENSMUSG00000002147,91.33012945107126
ENSG00000153132,ENSMUSG00000002190,89.92628968038845
ENSG00000131400,ENSMUSG00000002204,79.14183751954558
ENSG00000105053,ENSMUSG00000002205,83.27939012159433
ENSG00000105771,ENSMUSG00000002210,97.69229999999999
ENSG00000157212,ENSMUSG00000002221,90.07057881329732
ENSG00000153561,ENSMUSG00000002222,100.0
ENSG00000155363,ENSMUSG00000002227,91.82692289356594
ENSG00000155367,ENSMUSG00000002228,91.30434356533674
ENSG00000155366,ENSMUSG00000002233,100.0
ENSG00000187533,ENSMUSG00000002240,44.83360093913054
ENSG00000007866,ENSMUSG00000002249,95.1111032222221
ENSG00000112033,ENSMUSG00000002250,95.11917737504376
ENSG00000023892,ENSMUSG00000002257,95.47978990289575
ENSG00000198300,ENSMUSG00000002265,75.34162963651058
ENSG00000103260,ENSMUSG00000002274,84.24656170891616
ENSG00000103227,ENSMUSG00000002279,87.64240124957642
ENSG00000103245,ENSMUSG00000002280,92.35541120483565
ENSG00000167772,ENSMUSG00000002289,83.57844121609779
ENSG00000006634,ENSMUSG00000002297,78.38444368759947
ENSG00000204209,ENSMUSG00000002307,81.3513
ENSG00000167775,ENSMUSG00000002308,65.31366555464606
ENSG00000196497,ENSMUSG00000002319,91.16963051300516
ENSG00000100926,ENSMUSG00000002320,98.1848
ENSG00000100918,ENSMUSG00000002324,81.01935028694004
ENSG00000213928,ENSMUSG00000002325,73.42656443345463
ENSG00000100938,ENSMUSG00000002326,97.9885
ENSG00000157379,ENSMUSG00000002332,91.0543
ENSG00000130287,ENSMUSG00000002341,74.5461463911319
ENSG00000064545,ENSMUSG00000002342,89.88530232351417
ENSG00000105676,ENSMUSG00000002343,87.10006471642592
ENSG00000254901,ENSMUSG00000002345,95.39747995658243
ENSG00000181035,ENSMUSG00000002346,95.5975
ENSG00000130340,ENSMUSG00000002365,93.9496
ENSG00000031823,ENSMUSG00000002372,86.40001995519962
ENSG00000174886,ENSMUSG00000002379,78.87323854145339
ENSG00000160113,ENSMUSG00000002393,94.96221630362638
ENSG00000053501,ENSMUSG00000002395,89.13445901529043
ENSG00000099330,ENSMUSG00000002396,59.213268932519135
ENSG00000105204,ENSMUSG00000002409,93.32319831859446
ENSG00000157764,ENSMUSG00000002413,91.21018446248861
ENSG00000090266,ENSMUSG00000002416,85.7143
ENSG00000071794,ENSMUSG00000002428,89.96025011980186
ENSG00000101161,ENSMUSG00000002455,99.25610000000002
ENSG00000171700,ENSMUSG00000002458,83.91306465028154
ENSG00000147509,ENSMUSG00000002459,68.68419366758035
ENSG00000158201,ENSMUSG00000002475,96.82927407405879
ENSG00000167088,ENSMUSG00000002477,100.0
ENSG00000156299,ENSMUSG00000002489,97.61160000000001
ENSG00000103197,ENSMUSG00000002496,94.49514276341166
ENSG00000140986,ENSMUSG00000002500,98.0344
ENSG00000065054,ENSMUSG00000002504,95.2522
ENSG00000179950,ENSMUSG00000002524,98.66429451306806
ENSG00000130717,ENSMUSG00000002550,94.6428840784438
ENSG00000006747,ENSMUSG00000002565,96.5035
ENSG00000123411,ENSMUSG00000002578,89.0637203999344
ENSG00000141741,ENSMUSG00000002580,93.0435
ENSG00000005421,ENSMUSG00000002588,92.3944
ENSG00000167601,ENSMUSG00000002602,91.35806433130361
ENSG00000105329,ENSMUSG00000002603,93.8462
ENSG00000142039,ENSMUSG00000002608,88.43334373757916
ENSG00000011243,ENSMUSG00000002625,94.17252873411385
ENSG00000164690,ENSMUSG00000002633,91.65741407100421
ENSG00000126249,ENSMUSG00000002635,80.3324014824874
ENSG00000125651,ENSMUSG00000002658,94.63410339407488
ENSG00000125656,ENSMUSG00000002660,87.4316972445346
ENSG00000125652,ENSMUSG00000002661,90.0452
ENSG00000125650,ENSMUSG00000002664,75.0
ENSG00000205744,ENSMUSG00000002668,77.75675299259166
ENSG00000133997,ENSMUSG00000002679,97.9675
ENSG00000184304,ENSMUSG00000002688,95.51912337972666
ENSG00000043462,ENSMUSG00000002699,88.743
ENSG00000124207,ENSMUSG00000002718,99.691
ENSG00000173418,ENSMUSG00000002728,97.26778538623974
ENSG00000180228,ENSMUSG00000002731,99.361
ENSG00000079150,ENSMUSG00000002732,90.90908649586544
ENSG00000116095,ENSMUSG00000002733,93.13234830938414
ENSG00000106636,ENSMUSG00000002741,96.46460000000002
ENSG00000009954,ENSMUSG00000002748,95.88117522875932
ENSG00000124587,ENSMUSG00000002763,91.89192611409378
ENSG00000112651,ENSMUSG00000002767,89.36171064686927
ENSG00000124733,ENSMUSG00000002768,93.59329768080592
ENSG00000124713,ENSMUSG00000002769,94.89795233292642
ENSG00000105464,ENSMUSG00000002771,97.1041784763121
ENSG00000105438,ENSMUSG00000002778,100.0
ENSG00000161558,ENSMUSG00000002781,90.73064208617255
ENSG00000006625,ENSMUSG00000002797,92.0213
ENSG00000184916,ENSMUSG00000002799,93.3601756009443
ENSG00000184887,ENSMUSG00000002803,91.36492129327424
ENSG00000183828,ENSMUSG00000002804,89.1892
ENSG00000086289,ENSMUSG00000002808,87.9464
ENSG00000177731,ENSMUSG00000002812,96.85038996865786
ENSG00000177302,ENSMUSG00000002814,91.61675871654614
ENSG00000130734,ENSMUSG00000002820,90.9283
ENSG00000213339,ENSMUSG00000002825,92.80400000000002
ENSG00000167676,ENSMUSG00000002831,49.52893714837334
ENSG00000167674,ENSMUSG00000002833,88.65826285302442
ENSG00000167670,ENSMUSG00000002835,74.98661341006688
ENSG00000144843,ENSMUSG00000002844,90.40332798644363
ENSG00000176142,ENSMUSG00000002845,97.12524042433692
ENSG00000113845,ENSMUSG00000002846,81.4035
ENSG00000144837,ENSMUSG00000002847,89.9123
ENSG00000073111,ENSMUSG00000002870,98.1195
ENSG00000163870,ENSMUSG00000002871,95.14828473674227
ENSG00000138386,ENSMUSG00000002881,96.4028981275479
ENSG00000123146,ENSMUSG00000002885,69.81246534073045
ENSG00000177663,ENSMUSG00000002897,77.34104654533841
ENSG00000091136,ENSMUSG00000002900,95.52485199700864
ENSG00000105642,ENSMUSG00000002908,85.94305549130999
ENSG00000105643,ENSMUSG00000002910,85.9951
ENSG00000106341,ENSMUSG00000002930,86.62419104425585
ENSG00000135218,ENSMUSG00000002944,94.0678
ENSG00000076984,ENSMUSG00000002948,92.89743346318701
ENSG00000104980,ENSMUSG00000002949,95.1327
ENSG00000183020,ENSMUSG00000002957,98.66807195892086
ENSG00000039650,ENSMUSG00000002963,88.01531906689057
ENSG00000104973,ENSMUSG00000002968,87.72606767847374
ENSG00000187244,ENSMUSG00000002980,81.9200127605683
ENSG00000104853,ENSMUSG00000002981,96.77423840678848
ENSG00000104856,ENSMUSG00000002983,90.41339780981102
ENSG00000130204,ENSMUSG00000002984,95.56789999999998
ENSG00000130203,ENSMUSG00000002985,83.43948215240553
ENSG00000234906,ENSMUSG00000002992,77.7777446280981
ENSG00000105856,ENSMUSG00000002996,96.73077045635551
ENSG00000005249,ENSMUSG00000002997,98.32133449384115
ENSG00000111276,ENSMUSG00000003031,92.1519093606793
ENSG00000136826,ENSMUSG00000003032,92.93139341288887
ENSG00000072958,ENSMUSG00000003033,100.0
ENSG00000167461,ENSMUSG00000003037,98.5507
